Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15;2018-02-16;2018-02-17;2018-02-18;2018-02-19;2018-02-20;2018-02-21;2018-02-22;2018-02-23;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-07;2018-03-08;2018-03-09;2018-03-10;2018-03-11;2018-03-12;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02;2018-04-03
RealCapnCrunch;41655;41651;41653;41651;41644;41642;41653;41656;41654;41653;41659;41660;41673;41672;41665;41668;41676;41680;41679;41678;41681;41680;41683;41686;41700;41696;41670;41657;41661;41660;41661.0;41665.0;41676.0;41676.0;41680.0;41683.0;41686.0;41684.0;41689.0;41693.0;41692.0;41695.0;41694.0;41696.0;41702.0;41705.0;41705.0;41706.0;41706.0;41712.0;41710.0;41708.0
iowagirleats;15304;15308;15305;15304;15303;15298;15298;15298;15298;15300;15299;15301;15303;15301;15303;15306;15300;15301;15299;15296;15293;15295;15297;15298;15299;15297;15295;15290;15293;15292;15291.0;15293.0;15293.0;15290.0;15290.0;15289.0;15288.0;15294.0;15293.0;15293.0;15291.0;15290.0;15285.0;15283.0;15282.0;15281.0;15285.0;15282.0;15283.0;15282.0;15282.0;15284.0
spoonuniversity;17197;17197;17194;17190;17197;17193;17194;17188;17190;17189;17197;17202;17201;17204;17201;17199;17198;17216;17243;17250;17252;17253;17262;17262;17259;17260;17254;17252;17251;17254;17262.0;17261.0;17264.0;17271.0;17268.0;17270.0;17273.0;17271.0;17275.0;17279.0;17279.0;17284.0;17283.0;17283.0;17286.0;17286.0;17292.0;17295.0;17297.0;17295.0;17293.0;17292.0
foodandwine;6670708;6669921;6669391;6669021;6667296;6666788;6664984;6665192;6665486;6665233;6665575;6666092;6666707;6667458;6667839;6668439;6669027;6669736;6669787;6669680;6670357;6670962;6671738;6672451;6673171;6673485;6673285;6673578;6674304;6675049;6675815.0;6676609.0;6677356.0;6678044.0;6678968.0;6679853.0;6680566.0;6681173.0;6682030.0;6682900.0;6683661.0;6684510.0;6685138.0;6685673.0;6686228.0;6686742.0;6687351.0;6687906.0;6688594.0;6689090.0;6689630.0;6690027.0
epicurious;2793373;2793432;2793603;2793716;2793748;2793926;2793922;2794146;2794392;2794521;2794839;2795208;2795491;2795854;2796142;2796408;2796865;2797403;2797492;2797631;2798090;2798375;2798677;2799037;2799302;2799400;2799184;2799218;2799493;2799794;2800067.0;2800377.0;2800706.0;2801019.0;2801342.0;2801708.0;2801975.0;2802236.0;2802562.0;2802908.0;2803348.0;2803796.0;2804258.0;2804678.0;2805310.0;2805779.0;2806317.0;2806754.0;2807220.0;2807617.0;2807859.0;2808116.0
Newsweek;3416275;3416505;3416657;3416761;3416886;3417135;3417396;3417803;3418110;3418149;3418580;3418843;3419073;3419339;3419700;3419951;3420320;3420791;3421076;3421447;3421965;3422190;3422470;3422757;3423011;3423064;3422478;3422432;3422703;3422954;3423237.0;3423586.0;3423919.0;3424198.0;3424495.0;3424824.0;3425168.0;3425282.0;3425500.0;3425722.0;3426040.0;3426305.0;3426499.0;3426750.0;3427134.0;3427238.0;3427391.0;3427539.0;3427646.0;3427692.0;3427790.0;3427891.0
nytimes;41107913;41114692;41122026;41129397;41136546;41143930;41149689;41155795;41161330;41166902;41178142;41190104;41200510;41211361;41223909;41235817;41249314;41261371;41268549;41274446;41282415;41293831;41305743;41318821;41331817;41342518;41345522;41353077;41363788;41375403;41389737.0;41404768.0;41418211.0;41430536.0;41443504.0;41457047.0;41470501.0;41482899.0;41495955.0;41509002.0;41521067.0;41533574.0;41545887.0;41557543.0;41570437.0;41581263.0;41592411.0;41603496.0;41613878.0;41623995.0;41635748.0;41647202.0
NBCNews;5832061;5833236;5834814;5836954;5838372;5841006;5841856;5845136;5848329;5850737;5854805;5858356;5861794;5865131;5868871;5872522;5876753;5880620;5882703;5884267;5887883;5891815;5895702;5899824;5903697;5906692;5908406;5910888;5914157;5917666;5921602.0;5926040.0;5929830.0;5933053.0;5935498.0;5937438.0;5940658.0;5944100.0;5947766.0;5951569.0;5954840.0;5958250.0;5961154.0;5963683.0;5966282.0;5968534.0;5971001.0;5973305.0;5975464.0;5977323.0;5979786.0;5982821.0
CNN;39401297;39407306;39414100;39423025;39431295;39438907;39443993;39452457;39458867;39465361;39478394;39491607;39502515;39514352;39526934;39539052;39553656;39566973;39574145;39580981;39590255;39602373;39614964;39628220;39641228;39652257;39656158;39665103;39676797;39688890;39704221.0;39720076.0;39733964.0;39747353.0;39761600.0;39775999.0;39789103.0;39802152.0;39816089.0;39829246.0;39841718.0;39854689.0;39867159.0;39879296.0;39892774.0;39903892.0;39914898.0;39926415.0;39938031.0;39948605.0;39960877.0;39972651.0
washingtonpost;12070847;12074776;12079516;12084044;12089610;12095391;12100217;12105772;12110993;12115917;12122804;12128932;12134686;12140803;12147201;12153187;12160058;12166630;12169845;12172560;12177275;12183686;12189542;12195998;12202664;12208299;12211221;12215635;12221283;12227232;12235202.0;12242840.0;12249413.0;12255842.0;12262780.0;12269741.0;12276076.0;12282861.0;12290091.0;12296698.0;12302993.0;12309644.0;12315878.0;12321469.0;12327255.0;12332239.0;12337496.0;12342680.0;12348536.0;12353596.0;12359467.0;12365478.0
