Account;2018-02-11;2018-02-12;2018-02-13;2018-02-14;2018-02-15;2018-02-16;2018-02-17;2018-02-18;2018-02-19;2018-02-20;2018-02-21;2018-02-22;2018-02-23;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-07;2018-03-08;2018-03-09;2018-03-10;2018-03-11;2018-03-12;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02;2018-04-03
TravelMagazine;2777602;2777863;2778248;2778563;2778794;2779083;2779270;2779672;2780087;2780430;2780926;2781513;2781962;2782455;2782936;2783397;2783905;2784380;2784336;2784250;2784662;2785180;2785698;2786295;2786869;2787241;2787061;2787376;2787834;2788398;2789008.0;2789648.0;2790254.0;2790837.0;2791463.0;2792073.0;2792665.0;2793224.0;2793775.0;2794454.0;2795108.0;2795690.0;2796245.0;2796759.0;2797410.0;2797855.0;2798423.0;2798919.0;2799406.0;2799905.0;2800584.0;2801214.0
CNTraveler;3170542;3171059;3171935;3172625;3173044;3173835;3174120;3175374;3176882;3178044;3179468;3180908;3182277;3183814;3185348;3186995;3188888;3190489;3190813;3190981;3192443;3194743;3197211;3199906;3202495;3204694;3206619;3208834;3211037;3213390;3215832.0;3218381.0;3220830.0;3223137.0;3225468.0;3227870.0;3230119.0;3232358.0;3234480.0;3236919.0;3239325.0;3241823.0;3243715.0;3245732.0;3247988.0;3250219.0;3252567.0;3254061.0;3256530.0;3258946.0;3262143.0;3264722.0
ThatsEarth;1466346;1465879;1465653;1465542;1465154;1464965;1464657;1464522;1464413;1464209;1464159;1464061;1463985;1463883;1463869;1463770;1463523;1463869;1463705;1463612;1463550;1463468;1463402;1463334;1463289;1463117;1462854;1462722;1462651;1462597;1462596.0;1462529.0;1462454.0;1462393.0;1462365.0;1462345.0;1462270.0;1462205.0;1462110.0;1461998.0;1461934.0;1461881.0;1461834.0;1461752.0;1461708.0;1461639.0;1461602.0;1461564.0;1461493.0;1461453.0;1461533.0;1461582.0
chicagoideas;39270;39276;39278;39280;39283;39287;39284;39289;39297;39293;39297;39311;39323;39326;39335;39338;39344;39346;39354;39354;39360;39361;39364;39369;39373;39380;39367;39361;39366;39367;39370.0;39375.0;39375.0;39378.0;39378.0;39379.0;39378.0;39381.0;39387.0;39389.0;39401.0;39408.0;39400.0;39404.0;39406.0;39412.0;39411.0;39415.0;39419.0;39419.0;39423.0;39434.0
ViajaEnElMundo;127527;127629;127715;127784;127904;127957;128108;128249;128344;128432;128546;128630;128710;128812;128891;129093;129308;129477;129577;129628;129767;129926;130034;130174;130278;130353;130349;130423;130477;130671;130839.0;130912.0;130988.0;131099.0;131197.0;131277.0;131325.0;131376.0;131416.0;131466.0;131517.0;131568.0;131681.0;131726.0;131757.0;131794.0;131860.0;131999.0;132082.0;132104.0;132127.0;132138.0
TheBlondeSalad;9915;9915;9915;9915;9916;9914;9917;9917;9919;9919;9922;9925;9926;9926;9925;9929;9930;9931;9928;9934;9936;9938;9940;9936;9936;9936;9935;9935;9933;9936;9938.0;9935.0;9938.0;9939.0;9942.0;9939.0;9942.0;9947.0;9953.0;9957.0;9959.0;9960.0;9960.0;9970.0;9981.0;9982.0;9979.0;9979.0;9978.0;9979.0;9978.0;9981.0
kenzo;318725;318756;318744;318801;318843;318920;318971;319068;319137;319170;319235;319246;319292;319358;319407;319470;319505;319575;319690;319801;319894;319999;320133;320227;320381;320452;320365;320357;320440;320567;320654.0;320759.0;320867.0;321310.0;321625.0;321789.0;322204.0;323569.0;324185.0;324531.0;324709.0;324955.0;325176.0;325365.0;325640.0;325849.0;326101.0;326351.0;326662.0;326999.0;327223.0;327436.0
voguemagazine;13668121;13665111;13663107;13661331;13654527;13653007;13648225;13648039;13647868;13646976;13647933;13649045;13650345;13651961;13652451;13653637;13654604;13656369;13656362;13655288;13656412;13657834;13659768;13661434;13663310;13663924;13662513;13662651;13664146;13665981;13667871.0;13670140.0;13672211.0;13673927.0;13675792.0;13677629.0;13679455.0;13681000.0;13683113.0;13685286.0;13687268.0;13689441.0;13691108.0;13692850.0;13694690.0;13696213.0;13697914.0;13699710.0;13701659.0;13703410.0;13704928.0;13706461.0
BritishVogue;3602152;3602336;3602508;3602670;3602770;3602987;3603201;3603362;3603603;3603822;3604141;3604517;3604810;3605186;3605480;3605755;3606061;3606358;3606606;3606802;3607059;3607376;3607835;3608209;3608539;3608493;3607585;3607235;3607476;3607795;3608163.0;3608561.0;3608897.0;3609131.0;3609433.0;3609693.0;3609921.0;3610145.0;3610388.0;3610645.0;3610831.0;3611062.0;3611292.0;3611478.0;3611882.0;3611962.0;3612151.0;3612365.0;3612567.0;3612870.0;3613134.0;3613378.0
ELLEmagazine;6849019;6849075;6849133;6849330;6849086;6849116;6848425;6848828;6849398;6849845;6850865;6851882;6852793;6853769;6854630;6855519;6856203;6857150;6857386;6857539;6858192;6859181;6860213;6861156;6862114;6862527;6861536;6861608;6862342;6863207;6864186.0;6864939.0;6865691.0;6866319.0;6867025.0;6867689.0;6868389.0;6868972.0;6869588.0;6870188.0;6870766.0;6871493.0;6872139.0;6872748.0;6873453.0;6873902.0;6874436.0;6874944.0;6875565.0;6876243.0;6876934.0;6877679.0
Cosmopolitan;1726546;1726275;1725793;1725669;1725267;1724993;1724354;1724278;1724228;1724034;1724193;1724288;1724277;1724372;1724407;1724459;1724457;1724472;1724491;1724509;1725072;1725353;1725437;1725619;1725998;1726075;1725726;1725758;1725941;1726159;1726378.0;1726613.0;1726755.0;1726872.0;1727021.0;1727156.0;1727237.0;1727417.0;1727486.0;1727578.0;1727643.0;1727770.0;1727893.0;1727961.0;1728152.0;1728351.0;1728388.0;1728525.0;1728619.0;1728737.0;1728891.0;1729034.0
Fashionista_com;2248526;2248682;2248792;2248859;2248958;2249143;2249256;2249344;2249384;2249465;2249676;2249932;2250152;2250333;2250565;2250786;2251086;2251251;2251308;2251382;2251594;2251954;2252276;2252539;2252832;2252836;2252422;2252323;2252661;2252901;2253163.0;2253412.0;2253597.0;2253807.0;2253998.0;2254235.0;2254413.0;2254542.0;2254690.0;2254809.0;2254869.0;2255032.0;2255210.0;2255367.0;2255570.0;2255626.0;2255729.0;2255837.0;2255948.0;2256063.0;2256203.0;2256440.0
WhoWhatWear;2332915;2332774;2332601;2332479;2332217;2332067;2331891;2331756;2331647;2331483;2331407;2331386;2331352;2331341;2331324;2331306;2331241;2331229;2331061;2330912;2330891;2330859;2330789;2330827;2330782;2330527;2329847;2329568;2329509;2329485;2329434.0;2329434.0;2329440.0;2329378.0;2329377.0;2329377.0;2329353.0;2329273.0;2329232.0;2329168.0;2329049.0;2328995.0;2328918.0;2328820.0;2328821.0;2328790.0;2328733.0;2328623.0;2328517.0;2328419.0;2328368.0;2328306.0
TheCut;1430069;1430093;1430141;1430171;1430164;1430184;1430185;1430163;1430180;1430157;1430271;1430398;1430428;1430443;1430490;1430453;1430521;1430559;1430634;1430670;1430712;1430843;1430912;1431017;1431103;1431022;1430543;1430380;1430455;1430545;1430663.0;1430763.0;1430852.0;1430887.0;1430943.0;1431011.0;1431118.0;1431206.0;1431284.0;1431342.0;1431368.0;1431418.0;1431412.0;1431518.0;1431634.0;1431724.0;1431731.0;1431722.0;1431732.0;1431741.0;1431784.0;1431982.0
TimesFashion;2507877;2507829;2507766;2507778;2507756;2507797;2507821;2507803;2507786;2507714;2507759;2507834;2507855;2507902;2507948;2507962;2508002;2508042;2508003;2507983;2508025;2508070;2508054;2508088;2508125;2507884;2506541;2505919;2505923;2505978;2506043.0;2506092.0;2506173.0;2506182.0;2506278.0;2506335.0;2506396.0;2506371.0;2506456.0;2506510.0;2506561.0;2506647.0;2506669.0;2506721.0;2506920.0;2506930.0;2506952.0;2507016.0;2507059.0;2507084.0;2507160.0;2507241.0
ELLEUK;1221647;1221642;1221578;1221564;1221497;1221479;1221464;1221448;1221436;1221386;1221399;1221397;1221419;1221413;1221401;1221414;1221421;1221411;1221415;1221424;1221415;1221470;1221479;1221486;1221508;1221393;1220829;1220617;1220638;1220670;1220706.0;1220736.0;1220792.0;1220807.0;1220823.0;1220825.0;1220838.0;1220805.0;1220818.0;1220846.0;1220844.0;1220872.0;1220869.0;1220866.0;1220876.0;1220803.0;1220804.0;1220788.0;1220771.0;1220758.0;1220756.0;1220754.0
LondonFashionWk;1262846;1262916;1263130;1263340;1263447;1263749;1264105;1264437;1264782;1265160;1265612;1265850;1266069;1266332;1266509;1266744;1266866;1267117;1267356;1267593;1267922;1268189;1268446;1268699;1268983;1269061;1268727;1268691;1268949;1269173;1269329.0;1269521.0;1269551.0;1269692.0;1269861.0;1269961.0;1270101.0;1270150.0;1270277.0;1270390.0;1270470.0;1270595.0;1270791.0;1271100.0;1271337.0;1271452.0;1271503.0;1271619.0;1271675.0;1271745.0;1271843.0;1271871.0
VictoriasSecret;11482481;11481825;11481228;11479942;11479048;11478579;11477724;11478384;11478932;11478635;11480104;11481882;11483558;11485446;11486881;11488500;11489602;11491285;11492418;11493384;11495396;11497386;11499573;11501545;11503531;11503706;11501454;11501560;11502692;11503938;11505370.0;11506855.0;11507982.0;11509406.0;11510793.0;11512167.0;11513417.0;11514161.0;11515391.0;11517047.0;11518409.0;11520089.0;11521959.0;11523766.0;11525333.0;11526465.0;11527667.0;11529188.0;11530953.0;11532370.0;11533346.0;11534048.0
styleinmadrid;28534;28532;28525;28527;28530;28524;28524;28520;28514;28515;28519;28521;28516;28513;28515;28511;28509;28504;28506;28503;28502;28504;28506;28506;28508;28504;28492;28488;28489;28491;28488.0;28489.0;28485.0;28480.0;28476.0;28477.0;28479.0;28479.0;28482.0;28486.0;28484.0;28486.0;28482.0;28485.0;28488.0;28483.0;28483.0;28480.0;28480.0;28486.0;28488.0;28486.0
RevistaInStyle;31016;31021;31025;31028;31030;31031;31030;31037;31039;31040;31040;31046;31045;31048;31056;31056;31056;31056;31058;31063;31066;31071;31081;31085;31086;31090;31082;31080;31084;31091;31093.0;31098.0;31105.0;31108.0;31112.0;31114.0;31120.0;31127.0;31129.0;31132.0;31135.0;31139.0;31141.0;31140.0;31141.0;31140.0;31149.0;31151.0;31154.0;31153.0;31151.0;31154.0
Sephora;2377267;2377498;2377844;2378016;2378235;2378528;2378783;2379010;2379265;2379542;2381142;2382166;2382810;2383256;2383805;2384235;2384559;2384950;2385367;2385729;2386059;2386420;2386861;2387177;2387518;2387621;2387295;2387321;2387576;2387757;2388069.0;2388404.0;2388627.0;2388877.0;2389089.0;2389400.0;2389588.0;2389840.0;2390089.0;2390247.0;2390457.0;2390644.0;2390796.0;2391147.0;2391713.0;2392075.0;2392410.0;2392747.0;2392977.0;2393777.0;2394562.0;2395136.0
CiudadanosCs;457281;457472;457678;457846;458021;458211;458393;458656;458826;459037;459297;459491;459660;459822;459999;460173;460318;460570;460792;461025;461240;461449;461633;461879;462120;462284;462440;462580;462915;463154;463359.0;463559.0;463755.0;463954.0;464108.0;464247.0;464382.0;464546.0;464727.0;464910.0;465117.0;465352.0;465722.0;465917.0;466107.0;466194.0;466308.0;466427.0;466538.0;466642.0;466723.0;466856.0
Bcnisnotcat_;47259;47560;47860;48133;48630;48948;49320;49687;50038;50308;50379;50595;50765;50904;51178;51458;51664;51862;52070;52317;52542;53192;53544;53831;54023;54151;54257;54391;54605;54707;54818.0;54965.0;55074.0;55122.0;55181.0;55220.0;55275.0;55341.0;55381.0;55721.0;55989.0;56201.0;56695.0;56915.0;57083.0;57263.0;57494.0;57615.0;57794.0;57911.0;57964.0;58016.0
AMI__cat;36823;36839;36881;36902;36911;36934;36961;36992;37015;37052;37086;37109;37151;37190;37221;37247;37269;37292;37312;37334;37357;37384;37389;37399;37415;37418;37435;37457;37473;37482;37501.0;37526.0;37574.0;37599.0;37628.0;37650.0;37672.0;37698.0;37724.0;37744.0;37821.0;37925.0;38122.0;38232.0;38321.0;38385.0;38434.0;38479.0;38510.0;38550.0;38581.0;38620.0
TheDemocrats;1421079;1421253;1421454;1421738;1422096;1422480;1422732;1423113;1423428;1423558;1424076;1424509;1424841;1425202;1425530;1425772;1426158;1426495;1426781;1426994;1427201;1427396;1427528;1427772;1428025;1428235;1428130;1428235;1428388;1428533;1428924.0;1429572.0;1429872.0;1430170.0;1430542.0;1430939.0;1431251.0;1431507.0;1431755.0;1432262.0;1432724.0;1433077.0;1433391.0;1433617.0;1433936.0;1434090.0;1434221.0;1434374.0;1434516.0;1434700.0;1434898.0;1435081.0
epp;124786;124795;124787;124800;124793;124799;124791;124767;124724;124748;124778;124808;124824;124841;124857;124890;124922;124954;124992;125001;125021;125053;125075;125098;125119;125114;124975;124915;124904;124943;124973.0;125005.0;125037.0;125063.0;125082.0;125101.0;125118.0;125139.0;125155.0;125201.0;125230.0;125245.0;125261.0;125259.0;125282.0;125302.0;125304.0;125312.0;125320.0;125297.0;125310.0;125318.0
ahorapodemos;1319744;1319893;1320064;1320215;1320290;1320453;1320647;1320779;1320954;1321153;1321418;1321691;1321904;1322130;1322346;1322548;1322767;1322997;1323186;1323333;1323580;1323915;1324188;1324507;1324810;1325038;1325140;1325300;1325602;1325905;1326172.0;1326419.0;1326639.0;1326874.0;1327053.0;1327275.0;1327454.0;1327617.0;1327768.0;1327900.0;1328116.0;1328354.0;1328553.0;1328732.0;1329003.0;1329103.0;1329216.0;1329292.0;1329411.0;1329486.0;1329555.0;1329598.0
CNNPolitics;2595595;2596031;2596492;2597223;2597340;2598170;2598597;2599884;2601012;2601395;2602994;2604210;2605322;2606743;2608024;2609101;2610321;2611844;2612634;2613252;2614536;2616009;2617460;2619120;2620650;2621948;2622985;2624243;2625610;2626923;2629011.0;2630930.0;2632388.0;2633743.0;2635319.0;2636852.0;2638261.0;2639595.0;2641062.0;2642517.0;2643818.0;2645109.0;2646124.0;2647050.0;2647940.0;2648778.0;2649755.0;2650634.0;2651456.0;2652238.0;2653077.0;2653780.0
bpolitics;233501;233565;233614;233651;233667;233782;233800;233839;233889;233927;234019;234120;234235;234314;234378;234458;234522;234781;235020;235201;235348;235411;235472;235568;235655;235721;235854;235931;236011;236133;236251.0;236334.0;236431.0;236560.0;236640.0;236716.0;236824.0;237192.0;237431.0;237531.0;237652.0;237703.0;237737.0;237866.0;237955.0;238032.0;238089.0;238120.0;238144.0;238156.0;238215.0;238250.0
ABCPolitics;667726;667659;667680;667741;667617;667571;667415;667472;667666;667884;668383;668895;669460;670006;670659;671221;672106;673622;675387;677111;678336;679787;680853;682093;682862;683745;684448;685299;686143;687060;688036.0;688571.0;689058.0;689569.0;690142.0;690599.0;690979.0;691277.0;691662.0;692028.0;692250.0;692382.0;692462.0;692528.0;692518.0;692559.0;692665.0;692743.0;692809.0;692856.0;692883.0;692839.0
MSNBC;2003945;2004445;2005268;2006306;2007162;2008444;2009251;2010615;2011823;2012841;2014706;2016146;2017487;2018977;2020267;2021571;2022850;2024764;2027052;2029331;2031000;2032299;2034331;2035916;2037325;2038221;2038828;2039633;2040825;2041818;2043730.0;2045305.0;2046573.0;2047823.0;2049199.0;2050354.0;2051500.0;2052653.0;2053917.0;2055104.0;2056033.0;2057364.0;2058061.0;2058702.0;2059290.0;2059697.0;2060312.0;2060888.0;2061415.0;2061889.0;2062856.0;2063933.0
latimes;3196674;3196996;3197521;3198009;3198344;3198871;3199204;3199985;3200850;3201416;3202347;3203263;3204072;3204908;3205828;3206672;3207461;3208637;3209478;3210210;3211519;3212468;3213399;3214303;3215109;3215515;3215231;3215609;3216364;3217306;3218367.0;3219494.0;3220428.0;3221290.0;3222253.0;3223133.0;3224120.0;3225078.0;3226060.0;3226937.0;3228045.0;3229017.0;3229873.0;3230776.0;3231607.0;3232433.0;3233387.0;3234164.0;3234974.0;3235768.0;3236761.0;3237548.0
thehill;2964643;2965771;2967273;2968817;2970578;2972522;2974150;2976078;2977949;2979061;2981676;2983725;2985952;2988012;2989919;2991786;2994487;2996673;2997933;2999009;3000912;3002665;3004341;3006538;3008538;3010415;3011671;3013185;3014777;3016505;3018697.0;3020885.0;3022920.0;3024909.0;3027113.0;3029066.0;3030889.0;3032749.0;3034774.0;3036639.0;3038354.0;3039940.0;3041481.0;3042833.0;3044490.0;3045847.0;3047630.0;3049095.0;3050088.0;3050859.0;3052050.0;3053187.0
vox_es;68923;68943;68948;68972;69007;69038;69070;69116;69142;69177;69231;69256;69329;69411;69578;69690;69764;69828;69891;69962;70052;70126;70177;70217;70249;70306;70346;70398;70535;70631;70719.0;70790.0;70896.0;71055.0;71216.0;71301.0;71390.0;71450.0;71599.0;71697.0;71973.0;72287.0;72730.0;72853.0;73003.0;73076.0;73184.0;73293.0;73368.0;73435.0;73533.0;73616.0
cope_es;339574;339654;339755;339850;339892;339966;340003;340063;340110;340179;340246;340341;340422;340489;340538;340642;340720;340800;340880;340927;341013;341093;341164;341260;341355;341414;341423;341479;341623;341827;341924.0;342015.0;342122.0;342177.0;342260.0;342316.0;342372.0;342426.0;342492.0;342530.0;342591.0;342652.0;342746.0;342820.0;342892.0;342910.0;342957.0;342989.0;343023.0;343055.0;343099.0;343178.0
OndaCero_es;492855;492905;493009;493081;493130;493194;493206;493247;493288;493354;493400;493505;493577;493648;493704;493797;493865;493964;494043;494104;494205;494321;494414;494535;494642;494730;494758;494840;495007;495307;495460.0;495616.0;495761.0;495880.0;495971.0;496027.0;496089.0;496172.0;496263.0;496351.0;496462.0;496553.0;496678.0;496759.0;496855.0;496918.0;496983.0;497070.0;497156.0;497206.0;497261.0;497343.0
UberFacts;14544505;14542581;14541246;14540974;14538535;14537603;14534335;14526040;14516682;14510688;14511491;14512315;14513092;14514008;14514715;14515394;14515266;14516195;14515828;14515050;14515389;14516151;14517334;14518346;14518902;14518025;14515158;14514151;14514544;14515366;14516385.0;14517365.0;14518042.0;14518672.0;14519262.0;14518916.0;14519249.0;14519350.0;14519645.0;14520128.0;14520629.0;14521000.0;14519818.0;14518852.0;14518970.0;14518395.0;14518258.0;14518015.0;14517960.0;14517615.0;14517414.0;14517150.0
BuzzFeed;6422513;6423592;6424759;6426144;6426800;6428321;6428153;6430311;6432666;6434597;6437225;6439840;6442259;6444656;6447040;6449348;6451914;6454030;6454447;6454552;6456224;6458695;6461275;6463953;6466358;6468155;6469447;6471294;6473642;6476176;6478553.0;6481336.0;6483700.0;6486035.0;6488231.0;6490651.0;6492470.0;6494354.0;6496403.0;6498454.0;6500134.0;6501855.0;6503106.0;6504227.0;6505423.0;6506770.0;6508488.0;6510237.0;6511618.0;6513032.0;6514580.0;6515940.0
SavedYouAClick;259460;259489;259518;259532;259529;259518;259508;259504;259508;259469;259514;259449;259406;259401;259402;259366;259396;259419;259438;259476;259497;259571;259612;259668;259696;259688;259701;259722;259708;259691;259714.0;259730.0;259714.0;259709.0;259754.0;259763.0;259837.0;259872.0;259883.0;259885.0;259885.0;259890.0;259963.0;259974.0;260037.0;260115.0;260145.0;260138.0;260143.0;260154.0;260154.0;260179.0
MoviePass;41932;42079;42187;42805;43031;43692;43907;44301;44450;44575;44678;44797;44902;45054;45166;45290;45383;45497;45718;45854;46201;46287;46362;46449;46519;46579;46611;46687;46750;46823;46926.0;47082.0;47136.0;47223.0;47270.0;47321.0;47391.0;47463.0;47497.0;47568.0;47727.0;47866.0;47960.0;48039.0;48112.0;48178.0;48226.0;48297.0;48360.0;48407.0;48460.0;48542.0
kalesalad;155625;155860;156325;156481;156655;156804;156958;157108;157286;157430;157690;157931;158091;158234;158387;158560;158726;158903;159008;159123;159275;159482;159625;159777;159938;160033;160149;161215;162759;163274;163559.0;163723.0;163899.0;164032.0;164190.0;164372.0;164526.0;164670.0;165099.0;165237.0;165457.0;165586.0;165798.0;165991.0;166186.0;166375.0;166518.0;166843.0;167097.0;167334.0;167576.0;167818.0
cuantocabron;210017;209972;209927;209912;209881;209862;209828;209815;209779;209747;209731;209711;209689;209664;209627;209601;209590;209574;209554;209538;209518;209504;209471;209443;209425;209379;209352;209314;209294;209280;209264.0;209250.0;209236.0;209208.0;209184.0;209161.0;209134.0;209118.0;209107.0;209070.0;209060.0;209028.0;209004.0;208977.0;208968.0;208950.0;208927.0;208911.0;208893.0;208874.0;208853.0;208840.0
ladbible;2030076;2030193;2030151;2030263;2030360;2030537;2030716;2030659;2030668;2030719;2030820;2031006;2031278;2032313;2033452;2033978;2034423;2036302;2039453;2041505;2042607;2044197;2045281;2046000;2046561;2046684;2046628;2046924;2047346;2047669;2048104.0;2048590.0;2048904.0;2049162.0;2049864.0;2050869.0;2051505.0;2051877.0;2052083.0;2052594.0;2053055.0;2053429.0;2053587.0;2053762.0;2054002.0;2054264.0;2054459.0;2054861.0;2055207.0;2055542.0;2055757.0;2055995.0
mental_floss;646832;646898;646940;646930;646981;647056;647109;647155;647263;647281;647374;647503;647604;647686;647814;647846;647960;648155;648272;648389;648551;648695;648783;648929;649051;649100;649097;649203;649365;649480;649651.0;649829.0;649939.0;650071.0;650260.0;650478.0;650639.0;650852.0;650945.0;651178.0;651490.0;651844.0;652178.0;652485.0;652874.0;653187.0;653444.0;653659.0;653840.0;654058.0;654327.0;654557.0
elmundotoday;1151112;1151591;1152091;1152631;1153036;1153403;1153755;1154251;1154762;1155236;1155756;1156494;1157045;1157547;1157992;1158549;1159219;1159962;1160485;1160896;1161369;1162163;1162729;1163389;1163976;1164789;1165403;1165901;1166621;1167194;1167693.0;1168409.0;1169057.0;1169641.0;1170156.0;1170670.0;1171224.0;1171718.0;1172240.0;1172725.0;1173300.0;1173761.0;1174253.0;1174863.0;1175601.0;1175998.0;1176651.0;1177009.0;1177398.0;1177876.0;1178178.0;1178439.0
Cabronazi;251237;251329;251385;251456;251507;251579;251651;251739;251804;251900;251974;252038;252093;252215;252329;252399;252518;252636;252690;252767;252838;252919;252968;253057;253134;253200;253206;253266;253372;253458;253543.0;253617.0;253679.0;253744.0;253827.0;253929.0;254006.0;254099.0;254200.0;254300.0;254403.0;254469.0;254548.0;254636.0;254715.0;254770.0;254858.0;255013.0;255149.0;255250.0;255334.0;255391.0
lavecinarubia;357848;358995;360426;362115;363424;364645;365924;367214;368581;369931;371088;372138;373286;374257;375302;376495;377645;378770;379580;380251;381343;382712;383844;385078;386243;387222;387887;388676;390053;390960;391916.0;392745.0;393439.0;394082.0;394638.0;395503.0;396124.0;396750.0;397284.0;398007.0;398526.0;398972.0;399658.0;400297.0;400762.0;401349.0;402009.0;402551.0;403100.0;403820.0;404408.0;405127.0
pourmecoffee;279530;279582;279584;279582;279562;279589;279598;279646;279682;279661;279703;279709;279744;279750;279781;279799;279863;279890;279940;279951;279992;280009;280182;280361;280418;280412;280387;280414;280432;280443;280569.0;280604.0;280612.0;280652.0;280666.0;280793.0;280842.0;280873.0;280894.0;280886.0;280904.0;280917.0;280994.0;281041.0;281128.0;281184.0;281233.0;281248.0;281276.0;281328.0;281315.0;281339.0
NFL_Memes;441743;441716;441677;441951;441952;441918;441903;441896;441815;441768;441755;441698;441696;441668;441627;441608;441589;441558;441528;441514;441479;441432;441399;441375;441355;441316;441302;441307;441329;441298;441845.0;442057.0;442061.0;442038.0;442053.0;442029.0;442015.0;441989.0;441966.0;441948.0;441942.0;441915.0;441853.0;441793.0;441813.0;441778.0;441745.0;441722.0;441678.0;441642.0;441581.0;441517.0
9GAG;14609343;14605208;14598578;14598621;14589194;14576295;14558342;14560623;14563943;14563973;14570346;14577199;14585130;14594621;14600779;14609845;14616334;14624182;14624414;14621745;14628939;14638085;14648823;14659483;14670195;14676154;14680824;14688195;14695516;14703853;14712564.0;14722260.0;14728744.0;14738872.0;14749596.0;14760967.0;14771440.0;14780167.0;14790284.0;14803655.0;14816029.0;14828691.0;14842302.0;14855402.0;14865482.0;14876518.0;14887383.0;14900557.0;14912963.0;14919512.0;14929605.0;14935399.0
funnyordie;14385127;14385383;14385819;14386159;14386367;14386965;14387529;14387961;14388374;14388616;14389267;14389865;14390567;14391348;14392086;14392662;14393134;14393762;14394064;14394618;14395495;14396084;14396747;14397414;14397943;14397432;14394472;14393447;14394013;14394564;14395216.0;14395863.0;14396540.0;14397056.0;14397759.0;14398472.0;14398993.0;14399519.0;14400001.0;14400496.0;14401023.0;14401720.0;14402016.0;14402587.0;14403432.0;14403717.0;14404114.0;14404606.0;14405247.0;14405588.0;14406075.0;14406692.0
netflix;4714736;4716543;4719952;4722661;4724410;4726999;4730005;4733448;4737258;4739469;4743280;4746709;4750090;4753765;4757857;4762143;4766361;4769712;4771158;4772879;4776354;4780741;4784643;4788201;4791172;4793679;4800900;4804653;4807436;4810072;4812843.0;4815682.0;4818115.0;4820623.0;4823304.0;4826091.0;4828504.0;4830993.0;4833893.0;4836703.0;4839055.0;4841662.0;4844535.0;4847568.0;4851416.0;4854704.0;4858317.0;4862432.0;4866609.0;4870431.0;4874190.0;4877769.0
hbo;1914729;1915160;1915548;1915876;1916200;1916543;1916934;1917432;1917805;1918142;1918606;1919079;1919500;1919978;1920489;1921092;1921692;1922118;1922578;1923041;1923524;1924536;1925185;1925714;1926209;1926526;1926451;1926738;1927150;1927625;1928043.0;1928558.0;1928889.0;1929290.0;1929715.0;1930071.0;1930438.0;1930893.0;1931275.0;1931667.0;1931994.0;1932330.0;1932789.0;1933265.0;1933778.0;1934093.0;1934932.0;1935588.0;1936020.0;1937419.0;1938205.0;1938735.0
FOXTV;1252848;1252996;1253134;1253268;1253402;1253558;1253657;1253835;1253951;1253970;1254270;1254530;1254736;1254925;1255124;1255398;1255655;1255905;1256213;1256411;1256574;1257043;1257369;1257641;1257861;1257901;1257410;1257406;1257725;1257990;1258247.0;1258471.0;1258676.0;1258850.0;1259009.0;1259492.0;1259918.0;1260188.0;1260408.0;1260665.0;1260851.0;1261008.0;1261134.0;1261306.0;1261569.0;1261703.0;1261890.0;1262079.0;1262170.0;1262338.0;1262526.0;1262712.0
SonyPicsTeens;2993453;2993203;2992925;2992781;2992574;2992446;2992331;2992147;2991959;2991783;2991614;2991528;2991400;2991279;2991126;2991017;2990878;2990714;2990530;2990432;2990312;2990169;2990020;2989968;2989814;2988895;2984147;2982307;2982171;2982089;2982042.0;2981943.0;2981883.0;2981805.0;2981718.0;2981591.0;2981464.0;2981416.0;2981310.0;2981210.0;2981127.0;2981166.0;2981059.0;2980933.0;2980947.0;2980801.0;2980615.0;2980432.0;2980280.0;2980143.0;2979941.0;2979805.0
Miramax;430117;430047;429963;429932;429887;429847;429803;429747;429690;429634;429597;429545;429523;429480;429443;429399;429348;429317;429271;429221;429170;429127;429094;429063;429029;428924;428595;428455;428422;428401;428371.0;428310.0;428282.0;428258.0;428209.0;428144.0;428094.0;428047.0;428016.0;427965.0;427937.0;427888.0;427846.0;427785.0;427760.0;427722.0;427687.0;427663.0;427607.0;427564.0;427522.0;427473.0
NBC;1783656;1783964;1784403;1784835;1785279;1785797;1786248;1786749;1787290;1787698;1788652;1789661;1790655;1791590;1792457;1793198;1794041;1794941;1795571;1796109;1796948;1797957;1798787;1799518;1800156;1800544;1800559;1800999;1801748;1802445;1803102.0;1803733.0;1804207.0;1804745.0;1805076.0;1805481.0;1805836.0;1806169.0;1806501.0;1806811.0;1807060.0;1807382.0;1807694.0;1808001.0;1808401.0;1808617.0;1808906.0;1809148.0;1809367.0;1810366.0;1810823.0;1811158.0
