Tweet_id,User,Mentions
969089910580932608,Reuters,Conway G. Gittens
969089910580932608,Reuters,Rob Cox
969089910580932608,Reuters,Reuters Politics
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Jarrett Renshaw
969089910580932608,Reuters,Jim Drury
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters Business
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters Business
969089910580932608,Reuters,Reuters Showbiz
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Brad Brooks
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters Business
969089910580932608,Reuters,Reuters Pakistan
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters Top News
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Ben Hirschler
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Ben Hirschler
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,ClaraFerreiraMarques
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,ReutersBreakingviews
969089910580932608,Reuters,Reuters TV
969089910580932608,Reuters,Reuters India
969089910580932608,Reuters,ReutersBreakingviews
969089879446577152,el_pais,"MoMA, the Museum of Modern Art"
969089879446577152,el_pais,RicardoAnayaC
969089879446577152,el_pais,Kiko Llaneras
969089879446577152,el_pais,Materia
969089879446577152,el_pais,Antonio Navalón
969089879446577152,el_pais,Mauricio Macri
969089879446577152,el_pais,El Espectador
969089879446577152,el_pais,luis beauregard
969089879446577152,el_pais,Jan Martínez Ahrens
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,Jan Martínez Ahrens
969089879446577152,el_pais,pedro gorospe
969089879446577152,el_pais,EL PAÍS
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,David Alandete
969089879446577152,el_pais,Daniel Verdú
969089879446577152,el_pais,David Alandete
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,Quinta Temporada
969089879446577152,el_pais,Óscar López Fonseca
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,EL PAÍS Inter
969089879446577152,el_pais,verne
969089879446577152,el_pais,EL PAÍS Deportes
969089879446577152,el_pais,El Correo
969089879446577152,el_pais,Partido Popular ??
969089879446577152,el_pais,El País in English
